blikvanger.enabled,object_type_specifications.appartment.type,publish_date,location.lat,location.lon,floor_area,plot_area,exterior_space.type,exterior_space.garden_orientation,number_of_rooms,number_of_bedrooms,address.municipality,address.neighbourhood,address.wijk,address.street_name,price.selling_price,price.selling_price_condition,construction_type,construction_period,surrounding,garage.type,energy_label,amenities,accessibility,object_type_specifications.house.type,object_type_specifications.house.orientation,exterior_space.garden_size,garage.total_capacity,blikvanger.text,project.url,offering_type,object_type,address.province
False,with_external_access,2024-11-14T09:50:35.2200000,52.035892486572266,4.318783283233643,[77],[0],['balcony'],[],4.0,3.0,Rijswijk,Artiestenbuurt,Wijk 06,Buziaulaan,[310000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_center', 'in_residential_district']",[],D,[],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-11-14T09:39:55.1700000,51.93707656860352,4.564404010772705,[128],[155],['garden'],"['north', 'west']",5.0,4.0,Capelle aan den IJssel,Molenbuurt,Schenkel,Beltmolen,[580000],kosten_koper,resale,from_1981_to_1990,"['on_quiet_road', 'by_water', 'sheltered_position', 'in_residential_district']","['carport', 'all_garages']",A,"['central_heating_boiler', 'renewable_energy']",[],single_family,terraced,46.0,,,,['buy'],house,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,52.013275146484375,5.096314430236816,[168],[420],['garden'],[],6.0,4.0,Nieuwegein,Graven en Gravinnen,Fokkesteeg,Gravin Adelheidlaan,[950000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'in_residential_district']","['lean_to', 'built_in', 'all_garages']",A,"['bathtub', 'renewable_energy']",['accessible_for_the_elderly'],bungalow,detached,,1.0,,,['buy'],house,Utrecht
True,,2024-11-13T20:30:01.7370000,52.01440048217773,5.09401798248291,[107],[107],['garden'],['west'],4.0,3.0,Nieuwegein,Graven en Gravinnen,Fokkesteeg,Graaf Woldemarlaan,[425000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'by_water', 'sheltered_position', 'in_residential_district']",[],A,"['bathtub', 'renewable_energy']",[],single_family,terraced,44.0,,"Eengezinswoning, royale woon-/eetkamer, open keuken en 3 slaapkamers",,['buy'],house,Utrecht
False,,2024-11-13T20:15:01.8030000,51.9005012512207,4.680570125579834,[133],[127],['garden'],[],5.0,4.0,Krimpenerwaard,Lekkerkerk-Oost,Wijk 00 Lekkerkerk,Berlagestraat,[410000],kosten_koper,resale,from_1971_to_1980,['in_residential_district'],[],C,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,,,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-11-14T00:00:02.3430000,52.03664016723633,4.304081439971924,[161],[0],['balcony'],[],8.0,7.0,Rijswijk,Ministerbuurt,Wijk 08,Generaal Spoorlaan,[525000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'by_water', 'in_residential_district', 'unobstructed_view']",[],A,[],['lift'],,,,,,,['buy'],apartment,Zuid-Holland
True,flat_with_porch,2024-11-13T17:27:45.6270000,51.88386917114258,4.600857257843018,[76],[0],['balcony'],[],3.0,2.0,Ridderkerk,Slikkerveer,Slikkerveer,Van Anrooystraat,[265000],kosten_koper,resale,from_1960_to_1970,['in_residential_district'],[],G,[],['single_storey'],,,,,Hoek appartement op de 2e woonlaag met zijraam en superleuk uitzicht!,,['buy'],apartment,Zuid-Holland
True,,2024-11-14T00:00:02.3430000,51.92105484008789,4.354994297027588,[106],[191],"['garden', 'balcony']",['south'],5.0,4.0,Vlaardingen,Babberspolder Noord,Vlaardinger Ambacht,Sportlaan,[419000],kosten_koper,resale,from_1945_to_1959,"['on_quiet_road', 'in_residential_district', 'open_position', 'unobstructed_view']",[],B,"['central_heating_boiler', 'renewable_energy']",[],single_family,terraced,107.0,,Charmante jaren 50 eengezinswoning met een diepe zonnige achtertuin,,['buy'],house,Zuid-Holland
True,with_external_access,2024-11-13T16:53:57.9470000,51.96350860595703,4.540921211242676,[103],[0],['terrace'],['south'],4.0,3.0,Rotterdam,Ommoord,Prins Alexander,Söderblomplaats,[325000],kosten_koper,resale,from_1971_to_1980,"['in_residential_district', 'unobstructed_view']",[],A,['bathtub'],"['accessible_for_the_elderly', 'lift', 'single_storey']",,,5.0,,Keurig onderhouden en zeer licht 4- (voorheen 5-) kamer appartement ,,['buy'],apartment,Zuid-Holland
True,,2024-11-13T19:30:02.5130000,51.91930770874024,4.5818610191345215,[61],[55],['garden'],"['south', 'east']",4.0,2.0,Krimpen aan den IJssel,Kortland-Noord,Wijk 00 Krimpen aan den IJssel,IJsseldijk,[265000],kosten_koper,resale,from_1931_to_1944,"['on_busy_road', 'on_navigable_waterway', 'unobstructed_view']",[],C,['central_heating_boiler'],[],single_family,double,11.0,,Ideaal voor starters! Dijkwoning met uitzicht over Hollandse IJssel!,,['buy'],house,Zuid-Holland
False,with_external_access,2024-11-14T00:00:02.3430000,52.021141052246094,4.701372623443604,[84],[0],['balcony'],[],4.0,3.0,Gouda,Boerhaavekwartier,Bloemendaal,Bleulandweg,[310000],kosten_koper,resale,from_1960_to_1970,"['in_residential_district', 'unobstructed_view']",[],B,['swimming_pool'],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,ground_floor,2024-11-13T15:28:35.8600000,51.90375900268555,4.339157581329346,[54],[0],['garden'],"['south', 'east']",2.0,1.0,Vlaardingen,Vettenoordse Polder Oost,Centrum,Verheijstraat,[224900],kosten_koper,resale,from_1931_to_1944,[],[],D,['central_heating_boiler'],"['ground_floor', 'single_storey']",,,34.0,,,,['buy'],apartment,Zuid-Holland
False,,2024-11-13T18:00:01.6500000,52.02433395385742,5.581648826599121,[126],[118],['garden'],['east'],5.0,4.0,Veenendaal,Buurtstede,Noordoost,Methorstheem,[525000],kosten_koper,resale,from_2011_to_2020,"['on_quiet_road', 'in_residential_district']",[],A,['renewable_energy'],[],single_family,corner,50.0,,,,['buy'],house,Utrecht
True,,2024-11-13T14:42:53.9870000,51.914058685302734,4.337177276611328,[117],[72],['balcony'],[],5.0,3.0,Vlaardingen,Centrum,Centrum,Dr. H. Bavinckplaats,[425000],kosten_koper,resale,from_1981_to_1990,"['on_busy_road', 'in_center', 'in_residential_district', 'unobstructed_view']","['parking_space', 'all_garages']",B,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,,,Heerlijk ruim en goed onderhouden woning met terras en eigen pp,,['buy'],house,Zuid-Holland
True,with_external_access,2024-11-13T14:01:36.0430000,51.92499542236328,4.234355926513672,[49],[0],"['balcony', 'terrace']",[],2.0,1.0,Maassluis,Het Balkon,Wijk 04 Kapelpolder,Jacob van Heemskercklaan,[285000],kosten_koper,resale,after_2020,"['overlooking_park', 'by_water', 'in_residential_district']",[],A+++,['renewable_energy'],"['accessible_for_the_disabled', 'accessible_for_the_elderly', 'lift', 'single_storey']",,,,,Modern en duurzaam wonen aan het water! Ontdek - Ceres,,['buy'],apartment,Zuid-Holland
True,flat_with_porch,2024-11-13T17:15:01.4470000,51.9089241027832,4.456821918487549,[114],[0],[],[],4.0,3.0,Rotterdam,Nieuwe Westen,Delfshaven,Coolhaven,[500000],kosten_koper,resale,from_2001_to_2010,"['by_water', 'in_center', 'unobstructed_view']",[],B,['central_heating_boiler'],"['accessible_for_the_disabled', 'accessible_for_the_elderly', 'lift', 'single_storey']",,,,,Luxe en strak 4-kamerappartement van 114m2 op de 11e verdieping!,,['buy'],apartment,Zuid-Holland
False,,2024-11-13T17:15:01.4470000,52.01641845703125,4.713592052459717,[109],[207],"['garden', 'balcony']","['south', 'west']",5.0,4.0,Gouda,Kadenbuurt,Kort Haarlem,Jan Luykenstraat,[550000],kosten_koper,resale,from_1931_to_1944,"['on_quiet_road', 'in_residential_district']","['detached', 'all_garages']",D,"['bathtub', 'central_heating_boiler', 'renewable_energy']",[],single_family,corner,85.0,3.0,,,['buy'],house,Zuid-Holland
True,flat_with_porch,2024-11-13T17:00:03.4000000,51.871395111083984,4.486546516418457,[60],[0],['balcony'],[],3.0,2.0,Rotterdam,Zuidwijk,Charlois,Schoonegge,[229000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],E,['central_heating_boiler'],['single_storey'],,,,,Appartement met weids uitzicht en voorzien van twee balkons!,,['buy'],apartment,Zuid-Holland
True,ground_floor,2024-11-14T00:00:02.3430000,51.91691589355469,4.392406940460205,[100],[0],['garden'],"['south', 'west']",3.0,2.0,Schiedam,Fabribuurt,Wijk 03 West,Nieuwe Haven,[350000],kosten_koper,resale,from_1906_to_1930,"['by_water', 'in_residential_district']",[],D,"['bathtub', 'central_heating_boiler']",['accessible_for_the_elderly'],,,27.0,,Fantastische benedenwoning (100m2) met tuin op het zuidwesten,,['buy'],apartment,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,51.93948745727539,4.433749675750732,[159],[157],"['garden', 'balcony']","['north', 'east']",5.0,3.0,Rotterdam,Overschie,Overschie,Molensingel,[550000],kosten_koper,resale,from_1945_to_1959,"['at_edge_of_woods', 'on_quiet_road', 'in_green_area', 'in_residential_district']","['detached', 'all_garages']",C,"['bathtub', 'central_heating_boiler']",[],single_family,corner,69.0,1.0,,,['buy'],house,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,52.01311492919922,5.186760425567627,[119],[143],['garden'],[],5.0,4.0,Houten,Grassen,Houten Zuid-Oost,Kamgras,[595000],kosten_koper,resale,from_2001_to_2010,"['on_quiet_road', 'in_residential_district']",[],A+,"['bathtub', 'renewable_energy']",[],single_family,terraced,,,,,['buy'],house,Utrecht
False,,2024-11-14T00:00:02.3430000,52.02928161621094,4.695353031158447,[166],[390],"['garden', 'balcony']",['north'],7.0,5.0,Gouda,Gaardenbuurt,Bloemendaal,Kamillegaarde,[800000],kosten_koper,resale,from_1991_to_2000,"['by_water', 'in_residential_district']","['built_in', 'all_garages']",B,"['bathtub', 'central_heating_boiler']",[],town_house,semi_detached,144.0,1.0,,,['buy'],house,Zuid-Holland
True,,2024-11-13T16:15:01.7730000,51.90587615966797,4.407705307006836,[77],[55],['garden'],[],4.0,3.0,Schiedam,Noletbuurt,Wijk 04 Zuid,Groenelaan,[265000],kosten_koper,resale,from_1906_to_1930,"['on_quiet_road', 'in_residential_district']",[],D,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,,,Goed onderhouden tussenwoning met 3 slaapkamers en tuintje!,,['buy'],house,Zuid-Holland
False,,2024-11-13T14:04:01.5100000,52.010929107666016,4.697125911712647,[87],[109],"['garden', 'balcony', 'terrace']","['south', 'west']",5.0,4.0,Gouda,De Korte Akkeren Oud,De Korte Akkeren,Onder de Boompjes,[315000],kosten_koper,resale,from_1931_to_1944,['in_residential_district'],[],F,[],[],single_family,terraced,34.0,,,,['buy'],house,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,51.93257522583008,4.560855388641357,[98],[107],['garden'],['south'],4.0,3.0,Rotterdam,Prinsenland,Prins Alexander,Mahatma Gandhistraat,[419000],kosten_koper,resale,from_1991_to_2000,"['on_quiet_road', 'in_residential_district']",[],A,"['bathtub', 'central_heating_boiler', 'renewable_energy']",[],single_family,terraced,45.0,,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-11-14T00:00:02.3430000,51.87012481689453,4.488128662109375,[72],[0],['balcony'],[],3.0,2.0,Rotterdam,Zuidwijk,Charlois,Blankershoek,[250000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],B,['central_heating_boiler'],['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,52.03948211669922,4.6372833251953125,[117],[131],['garden'],"['south', 'east']",5.0,4.0,Waddinxveen,Zuidplas 80,Wijk 02,Zuidplaslaan,[435000],kosten_koper,resale,from_1981_to_1990,"['sheltered_position', 'in_residential_district', 'unobstructed_view']",[],C,['central_heating_boiler'],[],single_family,terraced,53.0,,,,['buy'],house,Zuid-Holland
True,with_external_access,2024-11-13T11:54:39.4870000,51.87067031860352,4.599243640899658,[83],[0],['balcony'],[],3.0,2.0,Ridderkerk,Centrum,Centrum,Jan Steenstraat,[375000],kosten_koper,resale,from_2001_to_2010,['in_center'],"['underground', 'parking_space', 'all_garages']",A,['central_heating_boiler'],"['lift', 'single_storey']",,,,,3-kamer appartement met parkeerplaats in hartje centrum Ridderkerk,,['buy'],apartment,Zuid-Holland
False,,2024-11-14T00:00:02.3430000,52.02307891845703,5.1915693283081055,[105],[133],['garden'],['south'],4.0,3.0,Houten,Meren,Houten Zuid-Oost,Toendrameer,[509000],kosten_koper,resale,from_1991_to_2000,"['on_quiet_road', 'by_water', 'in_residential_district', 'unobstructed_view']",[],A,['central_heating_boiler'],[],single_family,terraced,69.0,,,,['buy'],house,Utrecht
True,ground_floor,2024-11-14T00:00:02.3430000,51.91476440429688,4.359594821929932,[55],[0],['garden'],['west'],3.0,2.0,Vlaardingen,Babberspolder West,Vlaardinger Ambacht,Pompenburgsingel,[288000],kosten_koper,resale,from_1945_to_1959,"['on_quiet_road', 'in_residential_district']",[],A+++,['renewable_energy'],"['ground_floor', 'single_storey']",,,83.0,,Unieke energiezuinige 3-kamerwoning op begane grond met tuin rondom.,,['buy'],apartment,Zuid-Holland
